year,region,all,event,count,percentage
2013,malaysia,45,Pyraminx,17,37.77777777777778
2013,malaysia,45,Square-1,8,17.77777777777778
2013,malaysia,45,2x2x2 Cube,29,64.44444444444444
2013,malaysia,45,3x3x3 With Feet,4,8.88888888888889
2013,malaysia,45,6x6x6 Cube,15,33.33333333333333
2013,malaysia,45,7x7x7 Cube,9,20
2013,malaysia,45,Skewb,0,0
2014,global,14599,3x3x3 Cube,14110,96.65045551065141
2014,global,14599,3x3x3 Blindfolded,1773,12.144667442975546
2014,global,14599,3x3x3 Fewest Moves,1372,9.397903966025071
2014,global,14599,3x3x3 One-Handed,4804,32.90636344955134
2014,global,14599,4x4x4 Blindfolded,259,1.774094116035345
2014,global,14599,4x4x4 Cube,5419,37.1189807521063
2014,global,14599,5x5x5 Blindfolded,150,1.0274676347695049
2014,global,14599,5x5x5 Cube,2732,18.71361052126858
2014,global,14599,Clock,892,6.110007534762655
2014,global,14599,Magic,0,0
2014,global,14599,Master Magic,0,0
2014,global,14599,Megaminx,1803,12.350160969929448
2014,global,14599,Pyraminx,5052,34.60510993903692
2014,global,14599,Square-1,867,5.938762928967738
2014,global,14599,2x2x2 Cube,8959,61.36721693266662
2014,global,14599,3x3x3 With Feet,490,3.3563942735803822
2014,global,14599,6x6x6 Cube,1044,7.1511747379957535
2014,global,14599,7x7x7 Cube,952,6.520994588670456
2014,global,14599,Skewb,2666,18.261524761969998
2014,malaysia,64,3x3x3 Cube,58,90.625
2014,malaysia,64,3x3x3 Blindfolded,15,23.4375
2014,malaysia,64,3x3x3 Fewest Moves,13,20.3125
2014,malaysia,64,3x3x3 One-Handed,27,42.1875
2014,malaysia,64,4x4x4 Blindfolded,5,7.8125
2014,malaysia,64,4x4x4 Cube,34,53.125
2014,malaysia,64,5x5x5 Blindfolded,5,7.8125
2014,malaysia,64,5x5x5 Cube,24,37.5
2014,malaysia,64,Clock,9,14.0625
2014,malaysia,64,Magic,0,0
2014,malaysia,64,Master Magic,0,0
2014,malaysia,64,Megaminx,14,21.875
2014,malaysia,64,Pyraminx,24,37.5
2014,malaysia,64,Square-1,8,12.5
2014,malaysia,64,2x2x2 Cube,31,48.4375
2014,malaysia,64,3x3x3 With Feet,7,10.9375
2014,malaysia,64,6x6x6 Cube,10,15.625
2014,malaysia,64,7x7x7 Cube,9,14.0625
2014,malaysia,64,Skewb,8,12.5
2015,global,19412,3x3x3 Cube,18619,95.91489800123635
2015,global,19412,3x3x3 Blindfolded,1954,10.0659385946837
2015,global,19412,3x3x3 Fewest Moves,1741,8.968679167525243
2015,global,19412,3x3x3 One-Handed,6308,32.495363692561305
2015,global,19412,4x4x4 Blindfolded,326,1.6793735833505048
2015,global,19412,4x4x4 Cube,6822,35.14321038532866
2015,global,19412,5x5x5 Blindfolded,170,0.8757469606429014
2015,global,19412,5x5x5 Cube,3505,18.05584174737276
2015,global,19412,Clock,1136,5.852050278178447
2015,global,19412,Magic,0,0
2015,global,19412,Master Magic,0,0
2015,global,19412,Megaminx,2060,10.6119925819081
2015,global,19412,Pyraminx,7399,38.11559859880486
2015,global,19412,Square-1,1129,5.815990109210797
2015,global,19412,2x2x2 Cube,11936,61.487739542551
2015,global,19412,3x3x3 With Feet,603,3.1063259839274675
2015,global,19412,6x6x6 Cube,1434,7.387183185658356
2015,global,19412,7x7x7 Cube,1260,6.490830414176798
2015,global,19412,Skewb,4321,22.259427158458685
2015,malaysia,172,3x3x3 Cube,167,97.09302325581395
2015,malaysia,172,3x3x3 Blindfolded,11,6.395348837209303
2015,malaysia,172,3x3x3 Fewest Moves,9,5.232558139534884
2015,malaysia,172,3x3x3 One-Handed,57,33.13953488372093
2015,malaysia,172,4x4x4 Blindfolded,6,3.488372093023256
2015,malaysia,172,4x4x4 Cube,68,39.53488372093023
